iter	MultiClass
0	0.9982028924
1	0.9201258707
2	0.8571067539
3	0.803870179
4	0.7587850909
5	0.7210822633
6	0.6879764303
7	0.6596536394
8	0.6359347405
9	0.6153371494
10	0.596634825
11	0.5810079671
12	0.5664870651
13	0.553614148
14	0.5424954614
15	0.533083113
16	0.5242219793
17	0.5165677848
18	0.5096919
19	0.5035930059
20	0.4977938442
21	0.492663768
22	0.4882761831
23	0.4844121741
24	0.4809280963
25	0.4774752228
26	0.4744398746
27	0.4718757427
28	0.4693100807
29	0.4672467007
30	0.4650417432
31	0.4625922289
32	0.4610842905
33	0.4595798467
34	0.4570806247
35	0.4554660331
36	0.4541889928
37	0.4522098797
38	0.4512837167
39	0.4504681954
40	0.4497501183
41	0.4490542981
42	0.4482691226
43	0.4471275529
44	0.445627481
45	0.4446866558
46	0.4431680826
47	0.4425414559
48	0.4419117749
49	0.4407590461
50	0.4396794668
51	0.4390966193
52	0.4386183253
53	0.4380685163
54	0.4374811479
55	0.4363585789
56	0.4360518194
57	0.4356245359
58	0.435254052
59	0.4343441941
60	0.433890666
61	0.4332190263
62	0.432568743
63	0.4322412283
64	0.431654158
65	0.4311464579
66	0.4307778387
67	0.4298897522
68	0.4292874357
69	0.4284778298
70	0.4280238894
71	0.4275321017
72	0.4270376847
73	0.4266462093
74	0.4263756874
75	0.4255347833
76	0.4252764892
77	0.4247829805
78	0.4244309827
79	0.423807043
80	0.4234957989
81	0.4229582643
82	0.4226579279
83	0.4222062066
84	0.4219757353
85	0.4217359756
86	0.4212834114
87	0.4210415747
88	0.4206439044
89	0.4200429393
90	0.4198170125
91	0.4190354327
92	0.418676634
93	0.4183875828
94	0.4181725901
95	0.4175115869
96	0.417100776
97	0.4163857503
98	0.415908394
99	0.4150639854
100	0.4148493343
101	0.414449815
102	0.4137275835
103	0.4134225488
104	0.4130695415
105	0.4126308542
106	0.4122805751
107	0.4119080449
108	0.4115964762
109	0.4110301375
110	0.4105775484
111	0.4096253253
112	0.4092589433
113	0.408851955
114	0.4084000669
115	0.4080878166
116	0.4075271139
117	0.4068126766
118	0.4063403123
119	0.4060221329
120	0.4051054614
121	0.4046282878
122	0.404479126
123	0.4039988123
124	0.4033753726
125	0.4031755731
126	0.4028065396
127	0.402374187
128	0.4015437972
129	0.4012769722
130	0.4007985378
131	0.4004418981
