iter	Passed	Remaining
0	556	556361
1	564	281642
2	572	190278
3	579	144268
4	587	116935
5	595	98680
6	602	85529
7	611	75864
8	620	68360
9	631	62493
10	640	57557
11	648	53371
12	657	49923
13	665	46872
14	674	44269
15	679	41808
16	688	39830
17	697	38042
18	706	36499
19	717	35138
20	725	33840
21	733	32590
22	741	31481
23	750	30500
24	759	29638
25	768	28785
26	777	28003
27	785	27267
28	794	26585
29	803	25967
30	811	25374
31	823	24904
32	836	24504
33	846	24052
34	858	23662
35	876	23480
36	906	23585
37	921	23318
38	944	23262
39	956	22944
40	964	22559
41	974	22235
42	984	21903
43	993	21586
44	1001	21248
45	1010	20947
46	1017	20632
47	1028	20393
48	1038	20151
49	1045	19863
50	1056	19658
51	1064	19405
52	1073	19189
53	1081	18953
54	1090	18742
55	1098	18523
56	1107	18322
57	1115	18118
58	1123	17919
59	1131	17720
60	1138	17528
61	1146	17344
62	1154	17177
63	1162	17005
64	1170	16842
65	1178	16675
66	1185	16514
67	1193	16356
68	1202	16222
69	1210	16080
70	1219	15954
71	1227	15824
72	1236	15700
73	1245	15579
74	1252	15449
75	1262	15351
76	1269	15218
77	1279	15118
78	1286	14999
79	1295	14893
80	1302	14778
81	1312	14697
82	1320	14586
83	1329	14497
84	1336	14385
85	1345	14301
86	1353	14201
87	1361	14112
88	1369	14016
89	1377	13926
90	1384	13834
91	1393	13757
92	1402	13674
93	1410	13593
94	1417	13507
95	1426	13430
96	1435	13362
97	1443	13283
98	1453	13230
99	1461	13157
100	1471	13095
101	1478	13019
102	1488	12966
103	1498	12913
104	1507	12846
105	1516	12789
106	1524	12722
107	1533	12666
108	1541	12601
109	1551	12551
110	1559	12489
111	1570	12448
112	1579	12395
113	1588	12342
114	1596	12287
115	1604	12227
116	1614	12182
117	1623	12133
118	1632	12085
119	1639	12022
120	1648	11974
121	1656	11919
122	1663	11863
123	1671	11808
124	1680	11761
125	1687	11707
126	1696	11659
127	1704	11609
128	1713	11570
129	1721	11518
130	1729	11475
131	1738	11428
132	1746	11382
133	1753	11334
134	1762	11290
135	1770	11245
136	1778	11203
137	1786	11156
138	1794	11118
139	1804	11084
140	1812	11040
141	1820	10998
142	1828	10960
143	1837	10922
144	1845	10881
145	1853	10843
146	1862	10804
147	1871	10773
148	1879	10733
149	1889	10705
150	1896	10662
151	1905	10630
152	1914	10596
153	1923	10564
154	1933	10539
155	1941	10503
156	1949	10468
157	1958	10436
158	1967	10407
159	1978	10386
160	1987	10359
161	1996	10325
162	2004	10290
163	2013	10262
164	2021	10229
165	2030	10201
166	2038	10166
167	2046	10136
168	2054	10102
169	2064	10080
170	2072	10049
171	2080	10014
172	2088	9984
173	2096	9953
174	2104	9922
175	2112	9892
176	2122	9866
177	2129	9835
178	2138	9806
179	2145	9773
180	2154	9749
181	2162	9721
182	2171	9692
183	2178	9661
184	2187	9634
185	2194	9604
186	2203	9580
187	2211	9553
188	2220	9529
189	2229	9504
190	2238	9481
191	2247	9457
192	2256	9434
193	2264	9406
194	2272	9382
195	2281	9358
196	2290	9338
197	2300	9318
198	2308	9291
199	2317	9270
200	2324	9240
201	2334	9220
202	2342	9196
203	2351	9175
204	2358	9147
205	2368	9128
206	2376	9105
207	2386	9085
208	2396	9068
209	2404	9044
210	2413	9023
211	2421	8999
212	2430	8980
213	2438	8956
214	2447	8934
215	2455	8911
216	2463	8889
217	2471	8866
218	2480	8845
219	2488	8822
220	2496	8800
221	2504	8777
222	2512	8754
223	2520	8732
224	2529	8711
225	2537	8689
226	2546	8670
227	2555	8651
228	2563	8631
229	2573	8615
230	2580	8591
231	2590	8575
232	2597	8551
233	2606	8532
234	2614	8511
235	2623	8493
236	2630	8469
237	2640	8454
238	2649	8437
239	2657	8415
240	2666	8397
241	2674	8376
242	2682	8357
243	2690	8336
244	2699	8317
245	2707	8299
246	2717	8284
247	2724	8262
248	2732	8242
249	2741	8223
250	2751	8209
251	2759	8191
252	2769	8175
253	2776	8155
254	2784	8136
255	2793	8117
256	2802	8101
257	2810	8083
258	2818	8062
259	2826	8044
260	2835	8028
261	2844	8012
262	2852	7992
263	2861	7978
264	2870	7960
265	2879	7945
266	2887	7925
267	2895	7909
268	2903	7890
269	2912	7873
270	2919	7854
271	2929	7840
272	2937	7822
273	2945	7805
274	2953	7787
275	2962	7770
276	2971	7756
277	2980	7740
278	2989	7724
279	2997	7708
280	3006	7693
281	3015	7678
282	3023	7661
283	3031	7643
284	3040	7628
285	3049	7612
286	3058	7598
287	3066	7580
288	3074	7562
289	3082	7546
290	3090	7530
291	3100	7517
292	3109	7503
293	3119	7491
294	3127	7473
295	3136	7460
296	3140	7432
297	3143	7405
298	3148	7381
299	3151	7352
300	3154	7325
301	3158	7299
302	3162	7274
303	3165	7247
304	3168	7220
305	3171	7192
306	3174	7166
307	3179	7142
308	3182	7116
309	3185	7089
310	3188	7063
311	3192	7039
312	3195	7014
313	3199	6989
314	3202	6964
315	3206	6940
316	3210	6917
317	3214	6893
318	3217	6869
319	3221	6844
320	3224	6821
321	3228	6797
322	3231	6773
323	3234	6749
324	3238	6725
325	3242	6703
326	3245	6680
327	3248	6656
328	3252	6632
329	3255	6609
330	3259	6587
331	3262	6564
