iter	MultiClass
0	1.000509688
1	0.9221379942
2	0.8588825637
3	0.8076283727
4	0.7641830521
5	0.7267344663
6	0.6924501064
7	0.6649635122
8	0.6397326827
9	0.6190085439
10	0.5994859103
11	0.5834766608
12	0.5692313846
13	0.5561693753
14	0.5443144029
15	0.53353995
16	0.5249150746
17	0.5166078964
18	0.509064314
19	0.5028746547
20	0.4967845211
21	0.4913792082
22	0.4864549178
23	0.4826533988
24	0.4791520606
25	0.4760873807
26	0.4727255285
27	0.4695296719
28	0.4673976085
29	0.464722691
30	0.4623634424
31	0.4603614361
32	0.4586819769
33	0.4563959696
34	0.4549368974
35	0.4537425335
36	0.4522040223
37	0.4504212762
38	0.4493932282
39	0.448277977
40	0.4473261386
41	0.4464705545
42	0.4452189807
43	0.4445884388
44	0.4435196128
45	0.4426734529
46	0.4418451584
47	0.441063736
48	0.4402487816
49	0.4393437966
50	0.4387138261
51	0.437537326
52	0.4371112496
53	0.436273843
54	0.4357505288
55	0.4350426581
56	0.4346719439
57	0.4338524346
58	0.4330527911
59	0.4322638683
60	0.4313620034
61	0.4303826302
62	0.429592979
63	0.4292002427
64	0.42868325
65	0.4281811334
66	0.4273456833
67	0.4268880421
68	0.4266175591
69	0.4259552851
70	0.4254405441
71	0.4249297006
72	0.4244669821
73	0.423706941
74	0.4231085723
75	0.4226607736
76	0.4218938667
77	0.4211610065
78	0.4203130721
79	0.4197602552
80	0.419030375
81	0.4184999254
82	0.4181020059
83	0.4176832651
84	0.4170473911
85	0.4162767395
86	0.4157194269
87	0.4154750746
88	0.4150745704
89	0.4146236138
90	0.4142338688
91	0.4140176679
92	0.4133260288
93	0.4128901787
94	0.41261071
95	0.4119367863
96	0.4115092896
97	0.4110884223
98	0.4103571795
99	0.4098541341
100	0.4096013736
101	0.4089827433
102	0.4087746308
103	0.4082677685
104	0.4079417745
105	0.4076834663
106	0.4072525558
107	0.4068834488
108	0.4064586491
109	0.40562443
110	0.4054775789
111	0.4052324899
112	0.4048100882
113	0.4045616509
114	0.4040400237
115	0.4036072886
116	0.4031545422
117	0.4022371302
118	0.401352741
119	0.4007871188
120	0.400336213
121	0.400093019
122	0.3996192171
123	0.3991663495
124	0.3987966458
125	0.3983098143
126	0.3973788454
127	0.3966557061
128	0.3962995362
129	0.3958829349
130	0.3954786612
131	0.3950672705
132	0.39450471
133	0.393959082
134	0.3935296241
135	0.3932672127
136	0.3930077662
137	0.3923921848
138	0.3921250588
139	0.3918233072
140	0.3911812883
141	0.3908170359
142	0.3902355946
143	0.3896381391
144	0.3890709
145	0.3888635838
146	0.3882898852
147	0.387916439
148	0.3870472514
149	0.3864764921
150	0.3860499102
151	0.3858653019
152	0.3850275812
153	0.3847410161
154	0.3842906304
155	0.3840136124
156	0.3835552362
157	0.3830417425
158	0.3826710164
159	0.382190369
160	0.3817792008
161	0.3814212519
162	0.3811844981
163	0.3808138574
164	0.3806160097
165	0.3803197559
166	0.3797591082
167	0.3791731342
168	0.3790419558
169	0.378772182
170	0.3783660185
171	0.3779244598
172	0.3774746316
173	0.3768651197
174	0.3763226949
175	0.3759658832
