iter	Passed	Remaining
0	170	170157
1	176	88273
2	184	61168
3	191	47715
4	199	39769
5	207	34354
6	216	30687
7	223	27699
8	231	25447
9	237	23543
10	245	22102
11	252	20780
12	256	19479
13	265	18685
14	271	17848
15	279	17192
16	286	16539
17	293	15998
18	299	15472
19	305	14985
20	313	14613
21	319	14193
22	326	13851
23	332	13522
24	339	13242
25	343	12872
26	350	12615
27	357	12401
28	363	12167
29	370	11984
30	377	11812
31	384	11643
32	392	11498
33	399	11343
34	406	11211
35	412	11057
36	419	10920
37	427	10815
38	433	10685
39	440	10576
40	446	10447
41	453	10350
42	460	10245
43	466	10140
44	474	10078
45	481	9981
46	488	9903
47	495	9820
48	502	9744
49	508	9665
50	515	9589
51	522	9522
52	528	9444
53	535	9387
54	543	9335
55	551	9302
56	559	9255
57	568	9226
58	575	9179
59	583	9147
60	591	9102
61	598	9057
62	605	9003
63	611	8941
64	618	8900
65	625	8857
66	633	8824
67	640	8777
68	647	8730
69	654	8689
70	660	8635
71	667	8599
72	674	8559
73	681	8527
74	687	8481
75	693	8432
76	700	8397
77	706	8353
78	714	8326
79	720	8289
80	727	8254
81	733	8214
82	740	8175
83	746	8143
84	753	8107
85	759	8073
86	766	8039
87	772	8003
88	779	7975
89	785	7942
90	792	7914
91	798	7882
92	805	7858
93	813	7836
94	818	7801
95	825	7774
96	832	7747
97	838	7720
98	846	7706
99	852	7676
100	859	7652
101	866	7627
102	874	7613
103	880	7588
104	888	7571
105	894	7541
106	900	7515
107	907	7491
108	914	7471
109	921	7459
110	927	7431
111	933	7403
112	941	7390
113	947	7365
114	954	7347
115	960	7322
116	967	7299
117	976	7296
118	983	7282
119	991	7267
120	997	7249
121	1004	7229
122	1011	7209
123	1018	7192
124	1024	7173
125	1031	7154
126	1039	7143
127	1046	7127
128	1053	7113
129	1060	7097
130	1067	7081
131	1074	7065
132	1081	7052
133	1089	7041
134	1096	7024
135	1103	7008
136	1109	6989
137	1117	6977
138	1123	6958
139	1130	6947
140	1138	6937
141	1145	6918
142	1153	6910
143	1161	6905
144	1170	6902
145	1179	6901
146	1192	6916
147	1200	6911
148	1204	6877
149	1207	6844
150	1213	6820
151	1216	6788
152	1220	6756
153	1223	6722
154	1227	6690
155	1232	6670
156	1235	6635
157	1238	6601
158	1241	6565
159	1244	6534
160	1247	6502
161	1250	6469
162	1253	6435
163	1256	6404
164	1259	6375
165	1262	6343
166	1265	6311
167	1268	6279
168	1271	6252
169	1274	6224
170	1277	6193
171	1280	6163
172	1282	6133
173	1285	6102
174	1289	6077
175	1292	6049
176	1295	6021
177	1297	5992
178	1300	5965
179	1304	5944
180	1308	5921
181	1312	5898
182	1315	5871
183	1318	5846
184	1321	5823
185	1325	5800
186	1328	5775
187	1331	5752
188	1335	5731
189	1339	5709
190	1341	5683
191	1345	5660
192	1347	5635
193	1350	5610
194	1354	5589
195	1357	5567
196	1360	5543
197	1363	5521
198	1365	5497
199	1368	5474
200	1371	5452
201	1374	5429
202	1377	5407
